DDATETIME,AVGT,AVGP,MAXP,MINP,MINT,MAXT,MAXU,MINU,AVGU,WNDSPD
20191128000000,190,10148,10177,10128,160,223,88,48,58,32
20191129000000,175,10152,10178,10130,147,216,63,50,58,28
20191130000000,192,10133,10160,10103,156,244,74,43,64,18
20191201000000,209,10110,10123,10087,170,262,88,43,67,19
20191202000000,158,10149,10168,10116,134,215,68,38,53,40
20191203000000,148,10159,10182,10135,119,191,43,25,36,33
20191204000000,162,10159,10184,10131,121,201,43,22,33,30
20191205000000,155,10171,10188,10152,141,180,50,23,34,28
20191206000000,160,10176,10197,10153,132,186,45,21,29,34
20191207000000,152,10176,10199,10148,109,193,44,18,29,33
20191208000000,154,10173,10201,10147,118,198,47,20,34,27
20191209000000,161,10146,10178,10113,129,212,68,24,47,14
20191210000000,175,10113,10139,10089,128,230,77,30,55,13
20191211000000,185,10107,10129,10085,137,249,79,29,53,10
20191212000000,188,10132,10150,10113,149,234,80,35,64,14
20191213000000,197,10148,10169,10132,175,243,77,48,67,13
20191214000000,192,10142,10172,10113,161,250,91,44,71,14
20191215000000,191,10125,10142,10108,170,222,88,68,79,13
20191216000000,216,10104,10126,10083,194,249,80,55,68,18
20191217000000,236,10102,10123,10083,205,283,79,55,69,11
20191218000000,228,10102,10123,10086,207,279,83,55,76,19
20191219000000,190,10124,10150,10108,176,220,90,71,83,23
20191220000000,180,10124,10143,10095,151,228,72,51,64,25
20191221000000,182,10107,10132,10077,144,221,94,62,76,15
20191222000000,203,10085,10105,10061,187,247,86,61,78,10
20191223000000,197,10088,10107,10074,175,236,91,66,79,18
20191224000000,208,10102,10127,10082,181,256,87,57,78,16
20191225000000,204,10089,10115,10061,180,253,90,55,77,12
20191226000000,203,10092,10112,10071,177,247,89,53,71,33
20191227000000,165,10133,10149,10112,135,203,67,42,54,32
20191228000000,176,10129,10148,10113,137,222,67,41,56,14
20191229000000,181,10109,10129,10091,175,197,100,56,81,13
20191230000000,205,10122,10137,10107,179,244,99,67,89,11
20191231000000,193,10170,10194,10137,177,205,92,69,86,12
